Unnamed: 0,battery_id,formula_charge,id_charge,stability_charge,formula_discharge,id_discharge,stability_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_delta_volume,working_ion
558,mp-777025_Li,CoPO4,mp-776270,0.015296211249999912,LiCoPO4,mp-776295,0.04612420839285658,3.9522877900000046,166.6286707331907,619.4287622215272,658.5644608027206,2448.160733702958,0.05477722598249879,Li
559,mp-31532_Li,CoPO4,mp-25954,0.12728861250000012,LiCoPO4,mp-25953,0.05561568398809502,4.557801868333334,166.62867073319072,581.3235748658768,759.4604667856364,2649.557675629906,0.02203717645297432,Li
560,mp-763055_Li,Fe3Co7O20,mp-775826,0.0970866801041641,Li2Fe3Co7O20,mp-757626,0.0717184733789038,4.405947864999994,58.65058675273586,259.0075020088303,258.4114274842134,1141.1735504947874,0.00497524399196303,Li
561,mp-763055_Li,Li2Fe3Co7O20,mp-757626,0.0717184733789038,Li6Fe3Co7O20,mp-759810,0.029615503104167832,4.0894049500000005,113.8428055958044,509.53560641325737,465.54933272537016,2083.697431067627,0.016641423087371043,Li
562,mp-763055_Li,Li6Fe3Co7O20,mp-759810,0.029615503104167832,Li10Fe3Co7O20,mp-760848,0.018046280875001486,3.5026111575000107,110.58252238335363,519.6406060688663,387.32757672442915,1820.0989847068795,0.01983178315395961,Li
563,mp-26823_Li,Cu3(P2O7)2,mp-673105,0.006319616309522935,Li2Cu3(P2O7)2,mp-26823,0.036202868695659696,4.182299212500004,97.03533240696864,345.21632168218076,405.8307943103409,1443.7979503135327,0.02290554762208385,Li
564,mp-1101571_Li,Cu4(PO4)3,mp-1101571,0.05376970342102716,LiCu4(PO4)3,mp-504260,0.02961955950000128,4.601693569999986,49.083448499233725,200.28882234219643,225.8669893523493,921.6677859149547,0.0016584459952644348,Li
565,mp-705362_Li,LiCo(PO3)5,mp-705372,0.05166422053977904,Li2Co(PO3)5,mp-705362,0.03406527634056733,5.3486094774999975,57.30791910987344,149.7023440723165,306.51767928687235,800.6993763091575,0.04438641921622555,Li
566,mp-540530_Li,LiCo(PO3)4,mp-690004,0.10709676916666487,Li2Co(PO3)4,mp-540530,0.04690442333333422,5.2895114399999885,68.95104589199127,193.3154634822097,364.71734604565216,1022.5443556180487,0.024026126874648224,Li
567,mp-31550_Li,Co(PO3)4,mp-26724,0.05734889055148695,LiCo(PO3)4,mp-31600,0.03688333777777597,5.418402275000012,70.20467814357767,169.60052335121242,380.39718776880477,918.9638615674016,0.014797659380797691,Li
568,mp-672959_Li,LiCu(PO3)4,mp-672966,0.036537677974537004,Li2Cu(PO3)4,mp-672959,0.0179144521491228,5.27669004999999,68.14238859820786,197.7739702996677,359.5662638993963,1043.5919412292506,0.01830832976163932,Li
569,mp-757306_Li,LiCu(PO3)4,mp-757306,0.013573457974537462,Li2Cu(PO3)4,mp-761911,0.042982585570175764,4.3870395550000065,68.14238859820786,178.7996956273516,298.94335415251936,784.4013371391533,0.01163822265885428,Li
570,mp-6412_Li,Li2CuP2O7,mp-6412,0.0,Li3CuP2O7,mp-781753,0.09650809153846218,1.899582995000008,103.75610788221493,277.1317357334046,197.0933381604417,526.4347325740114,0.04409210408006636,Li
571,mp-761650_Li,Fe(CoO3)2,mp-753096,0.11237136465277596,Li2Fe(CoO3)2,mp-757742,0.07351997249999975,3.9458870700000026,189.01584119971074,828.9588915244333,745.8351638151123,3270.978171627796,0.03511297301019356,Li
572,mp-764400_Li,Li4FeCo3O8,mp-754123,0.10294679031252407,Li8FeCo3O8,mp-752780,0.0913327155000001,1.7627276375000007,257.602652797834,859.6967993514247,454.0833155800589,1515.4113080870486,0.1484346284988718,Li
573,mp-771657_Li,Fe3Co5O16,mp-771370,0.11731444200520612,Li4Fe3Co5O16,mp-781613,0.07519920161607008,4.087498217499997,143.71627180110957,676.0453549051255,587.4400048127802,2763.334183123853,0.08312182299829929,Li
574,mp-26513_Li,CuPO4,mp-673047,0.08997901874999936,LiCuPO4,mp-26513,0.047855751547620784,4.58278037666666,161.9832387573718,524.8638551892085,742.333607926194,2405.3357759827163,0.04599895986163527,Li
575,mp-27063_Li,LiCuPO4,mp-27064,0.04831841178571583,Li2CuPO4,mp-27063,0.06262309906249985,3.0528988349999984,155.4616040646929,526.0523293308073,474.6085499363319,1605.9845433630576,0.010003792851488448,Li
576,mp-26247_Li,Li3Cu(PO4)2,mp-504348,0.053103699877232735,Li4Cu(PO4)2,mp-26248,0.05299962149999793,4.057132290000004,95.29323298660624,267.2200333558443,386.6172525684536,1084.147025862874,0.028953127201388536,Li
577,mp-26247_Li,Li4Cu(PO4)2,mp-26248,0.05299962149999793,Li5Cu(PO4)2,mp-26247,0.031448117031248835,3.5074791949999926,92.99814369396073,269.32684867239925,326.189054180187,944.6583183733518,0.007884196742649952,Li
578,mp-772084_Li,Cu3(P2O7)2,mp-772942,0.05310785869047408,Li5Cu6(P2O7)4,mp-772084,0.023257700053193275,4.568232725999996,120.53689134676235,428.5582300979786,550.6405717405855,1957.7537317302224,0.03182817907286495,Li
579,mp-673145_Li,Cu4(PO4)3,mp-673151,0.03760242276313264,LiCu4(PO4)3,mp-673145,0.05597159262500195,3.767474574999985,49.083448499233725,188.41759840883,184.92064427418427,709.8585114878246,0.012272996294141024,Li
580,mp-1177161_Li,Fe3Co5O16,mp-756418,0.1053848099218726,Li4Fe3Co5O16,mp-753106,0.08017208518749808,3.981110239999997,143.71627180110957,614.970451069317,572.1503213220203,2448.2651600494755,0.009188603761467906,Li
581,mp-1177161_Li,Li4Fe3Co5O16,mp-753106,0.08017208518749808,Li8Fe3Co5O16,mp-765504,0.012779496406274404,3.923894965,138.55918423265362,639.7049631402359,543.6916853650171,2510.1350839514826,0.040220651297814936,Li
582,mp-763869_Li,Fe5Co3O16,mp-771307,0.16935650528645674,Li4Fe5Co3O16,mp-772179,0.05497100995535753,4.416589764999996,144.91615414703708,624.7473283387487,640.0352031889656,2759.252656052009,0.12840560645333945,Li
583,mp-763869_Li,Li4Fe5Co3O16,mp-772179,0.05497100995535753,Li10Fe5Co3O16,mp-763869,0.07911651154411636,2.752951326666666,205.78928396754293,874.6010830008563,566.5278823122305,2407.7342117513103,0.07148391503558837,Li
584,mp-1176746_Li,LiFe2(CoO4)2,mp-1176746,0.0988178866346141,LiFeCoO4,mp-761710,0.004185498464283732,4.824146090000005,72.15685947049016,314.74303785544936,348.09523148124487,1518.3663954250894,0.0075248385380792815,Li
587,mp-1101568_Li,Co3(P2O7)2,mp-584339,0.10626300416661927,Li2Co3(P2O7)2,mp-540469,0.04884394369565026,4.784179700000001,99.52863802217483,354.22705173690383,476.16288959433706,1694.6858701105452,0.02137135434221716,Li
588,mp-31557_Li,Co6P7O24,mp-705347,0.007849200337830098,LiCo6P7O24,mp-31557,0.00916914085526255,4.224387314999978,27.8792338801481,102.10094665420677,117.77268195521522,431.31394389552077,0.015208504038451975,Li
589,mp-31610_Li,Co3P3O11,mp-25878,0.033462077647051565,LiCo3P3O11,mp-584239,0.03625340513888897,4.1052012274999825,59.209475893299945,209.0686223602554,243.0668131168054,858.2687651450502,0.011316989039045877,Li
591,mp-31560_Li,LiCo(PO3)4,mp-540064,0.06743072583333197,Li2Co(PO3)4,mp-31560,0.049061426754387405,4.5345395949999885,68.95104589199127,174.8284974764421,312.66124771389576,792.7667441412822,0.061769507085458926,Li
592,mp-1101586_Li,Co(PO3)3,mp-1101586,0.06784438769230139,LiCo(PO3)3,mp-26015,8.881784197001252e-16,5.246803912500004,88.51505725595304,252.14940982349012,464.4211487256964,1322.978509996455,0.012015808594748156,Li
593,mp-504264_Li,CuPO4,mp-504265,0.004509199166665923,LiCuPO4,mp-504264,0.0432328117857157,4.1023220375000005,161.9832387573718,615.8242754619034,664.5074100599908,2526.3094964548372,0.009643811801052005,Li
594,mp-26467_Li,CuPO4,mp-673017,0.12016418166666655,LiCuPO4,mp-26467,0.04774874357143055,4.764640410000005,161.9832387573718,528.8179548661294,771.7918851260525,2519.6273972887184,0.02180881684469549,Li
595,mp-26467_Li,LiCuPO4,mp-26467,0.04774874357143055,Li2CuPO4,mp-26875,0.06396302031250034,3.0381917874999944,155.4616040646929,514.7160605702977,472.3221687409256,1563.8061081190285,0.027397424281276672,Li
596,mp-25449_Li,CuPO4,mp-753519,0.0,LiCuPO4,mp-25449,0.051592380000002436,4.016749865,161.9832387573718,615.537115349881,650.646152410936,2472.458624984124,0.12106445945921228,Li
597,mp-773618_Li,Li3Fe5(CoO6)2,mp-756115,0.11310493931817955,Li4Fe5(CoO6)2,mp-775227,0.061793021304366924,3.863579494999987,43.44907189603597,197.1969212438519,167.86894325430475,761.8859813948735,0.031137756022165286,Li
598,mp-773618_Li,Li4Fe5(CoO6)2,mp-775227,0.061793021304366924,Li5Fe5(CoO6)2,mp-850359,0.026930978958336738,3.3506530750000016,42.965607269099465,196.5604406683916,143.9628441154505,658.6058449489018,0.0032380909062679213,Li
